,name,viewCount,likeCount,commentCount
4,乃木坂46 33rdシングル　中西アルノ個人PV予告「アルノーマリティー」,288838,9669,1041
8,乃木坂46 33rdシングル　小川彩個人PV予告「あやは反抗期」,260506,10907,779
9,乃木坂46 33rdシングル　五百城茉央個人PV予告「IOKI 1000%」,191429,7318,394
6,乃木坂46 33rdシングル　川﨑桜個人PV予告「さくらのさくっとクッキング」,134641,5920,389
1,乃木坂46 33rdシングル　池田瑛紗個人PV予告「ある女」,133151,5530,328
2,乃木坂46 33rdシングル　一ノ瀬美空個人PV予告「片腕ドリル彼女 みーぎゅんぎゅん！」,120871,5697,525
3,乃木坂46 33rdシングル　井上和個人PV予告「父の定年」,115059,4928,242
7,乃木坂46 33rdシングル　菅原咲月個人PV予告「何%かわいい？」,114710,4997,241
5,乃木坂46 33rdシングル　冨里奈央個人PV予告「私の笑顔を、返して！」,102127,4840,258
0,乃木坂46 33rdシングル　奥田いろは個人PV予告「Bande A Part」,69785,3495,206
